,id,full_nr,name,ks,material,commentary,event_type,location,start,end,before_Christ,country_and_unit,participants_role,participant,parish,text,class,technique,parameter,unit,value,museum_abbr,musealia_mark,musealia_seria_nr,musealia_queue_nr,musealia_additional_nr,collection_mark,collection_queue_nr,collection_additional_nr,element_count,legend,is_original,initial_info,damages,state,color,additional_text,type
19,3943729,AM _ R- 2309,The most beautiful Christmas songs. Tallinn 1988,2309.0,paper,,religion and beliefs,,,,,Estonia,,,,,,printing,height,cm,"20,5",AM,_,,,,R-,,,1.0,,1.0,,ok,good,,"The book is paperback, with paper covers. Issued in Tallinn by the EELK Consistory in 1988. 16 pages. Illustrated. Printed trk. ""Kiir"" in Viljandi.",book
20,1838338,,,,,,preparation,,1918,,ei,,,,,,,,width,mm,24,ETMM,_,,,,Fk,,d,1.0,Work of ETMM photo lab.,0.0,,,good,,Work of ETMM photo lab. Photographer Henno Saarne (?).,slide
21,2317557,AM _ 18136 A 434:32,A shard of earthenware,434.0,clay,,,,,,,,,,,,,,,,,AM,_,18136.0,,,A,32.0,,1.0,"Found in 1965. About 500 m west of the Keila-Vääna road, from a plowed field near a large split stone",,,,good,,,archaeological find
22,1254493,,,,,,,,,,,,,,,"Mikiver, Mikk: letters: Aslan Haradura",name on the source document,manuscript,document volume,lk,5,ETMM,_,12183.0,229.0,,T,1.0,117:14:00,1.0,,1.0,1989,,good,,,a letter
23,198253,ETMM _ 8659 M 27:2/35:1,"""Spirit of Light"" and ""My God"" for male choir a cappella",27.0,paper,,music,,,,,,,,,,,handwriting,,,,ETMM,_,8659.0,,,M,2.0,35:01:00,1.0,,1.0,,Torn,satisfactory,black,"Spirit of light, for the evening","script, song/vocal music"
24,2913477,ETMM _ 7970 Mo 10:1/21:9,"Program, Symphony concert, dir.
Z. Košler, 1971",10.0,paper,,culture,,02.02.1971,,ei,,,,,,,,,,,ETMM,_,7970.0,,,Mo,1.0,21:09,1.0,,1.0,,,good,,,plan
25,2610098,,,,,,theater history,,07.11.1911,,ei,,participant,"Avesson, Gustav",,,,,,,,ETMM,_,6682.0,,,T,1.0,04:01,1.0,,1.0,,,good,,,postcard
26,3240030,ETMM _ 8201 M 13:1/354:16,Aino Tamme's concert,13.0,paper,,concert trips/tours,,,,,,a singer,"Tamm, Aino",,,,,,,,ETMM,_,8201.0,,,M,1.0,354:16:00,1.0,,1.0,,,good,,,plan
27,2785033,,,,,,,,,,,,,,,,,,,,,AM,,,,,N,1.0,,1.0,,1.0,,,good,,,photo negative
28,1888705,ETMM _ 5567 Ar 814,where did you go,814.0,paper,,copying (making),,,,,Estonia,,,,,,copying,print volume,lk,1,ETMM,_,5567.0,,,Ar,,,1.0,Archive library of the Theater and Music Museum: books and sheet music,0.0,,,satisfactory,,manuscript reproduction,sheet music
29,3187895,AM _ 70:103/3 P 5418,Seal of the Audit Committee of the Transport Workers' Section of the Tallinn Branch of the Union of General Workers and Servants,5418.0,paper,,labor movement,,1920,1924,ei,,,,,,,,,,,AM,_,70.0,103.0,3,P,,,1.0,,1.0,,All right,good,,The Transport Workers' Section of the Tallinn Branch of the General Workers' and Servants' Union Rew Kommisjon,there/imprint
30,4170397,,,,,,,,,,,,,,,,,,,,,ETMM,_,8674.0,,,Af,11.0,M,1.0,,1.0,,,good,,,poster
31,2944560,ETMM _ 7275 T 14:2/44:2,Decoration design for the play Kalevipoeg in the Estonia theater,14.0,cardboard,,theater performances,,1953,,ei,"Tallinn, Estonia",contact person,"Kapp, Eugen",,,,oil,,,,ETMM,_,7275.0,,,T,2.0,44:02:00,1.0,,1.0,,,good,,The shore of the island,design/drawing/sketch
32,4092218,,,,,,poetry,,,,,Estonia,the author,"Kaplinski, Jaan",,,,,diameter,cm,17,ETMM,_,8616.0,,01.veebr,Hp,,,1.0,,1.0,,,good,,"Annoying, Annoying
Only to go along. Wave one wave ship.
Floating between the continent and the sea.
You are standing in the middle of a closed soap bubble
B: Once upon a time there was a king.
You distant sun.
There is no consolation",audio recording
33,2746358,AM N 3102,"8. Estonian Rifle Corps. Reproduction of the scheme ""Military expeditions a.[?]""",3102.0,silver gelatin emulsion,,copying (making),,,,,,,,,,,black and white photography,negative format,24 x 36 mm,1,AM,,,,,N,,,1.0,,1.0,,,good,,,photo negative
34,2808999,,,,,,,,,,,,,,,,,,,,,AM,,,,,N,17.0,,1.0,,1.0,,,good,,,photo negative
35,3649157,ETMM _ 10131 T 411:2/23:3,"Costume design for the character Old Count Moor for the play Robbers. Fr. Schiller, Vanemuine 1983",411.0,paper,,theater performances,,1983,,ei,,liaison organization,Teater Vanemuine,,,,pen,,,,ETMM,_,10131.0,,,T,2.0,23:03,1.0,,1.0,,,good,,,design/drawing/sketch
36,3648813,ETMM _ 12896:21 M 524:2/8:3,"""Kokoro"" for flute and piano, 1971",524.0,paper,,music,,14.03.1971,,ei,,the author,"Sõmer, Avo",,,,handwriting,,,,ETMM,_,12896.0,21.0,,M,2.0,08:03,1.0,"Avo Sõmera's CV and manuscripts arrived at the museum by post. Arvo Sõmer is a musicologist and composer of Estonian origin. Avo Sõmer (born 1934) is primarily known for his writings analyzing the works of 20th century composers, including Debussy and Tubina.
Although Sõmer worked at the University of Connecticut from 1962 until his retirement in 2000, he has given lectures and presentations in Estonia on several occasions.
His personal archive M524 mainly contains original manuscripts of compositions from 1954-1978. Both choral and chamber music are represented.",1.0,M524:2/8:3,,good,,,manuscript
37,4285414,,,,,,,,,,,,,,,,,,document volume,leht,1,ETMM,_,7315.0,,,T,1.0,0.425694444,1.0,,1.0,,,satisfactory,,,document
38,3627148,ETMM _ 9712 T 19:2/61:49,Costume design Lady in a long toilet from the Estonian Theater production Bajadeer,19.0,paper,,theater performances,the city of Tallinn,1957,,ei,Estonia,liaison organization,Teater Estonia,,,,watercolor,height,cm,31,ETMM,_,9712.0,,,T,2.0,61:49:00,1.0,,1.0,,,satisfactory,,,design/drawing/sketch
39,3491363,ETMM _ 10927 T 7:3523/Ar,Summer school,7.0,paper,,printing/ publishing,the city of Tartu,,,,Estonia,,,,,,typing,print volume,lk,51,ETMM,_,10927.0,,,T,3523.0,Ar,1.0,,0.0,,,good,,,manuscript
40,4294555,ETMM _ 10447 Fk 84400/r,"Traviata, Teater Estonia, 1987, in parts: Germont - Vladimir Chernov",84400.0,photographic material,,theater,,18.04.1987,,ei,,liaison organization,Rahvusooper Estonia,,,,,film frame,60 x 60 mm,1,ETMM,_,10447.0,,,Fk,,r,1.0,,1.0,TB020322,,good,,,photo negative
41,2065022,,,,,,,,,,,,,,,,,,,,,AM,,,,,F,85.0,,1.0,,,,,good,,,photo
42,205058,ETMM _ 2056 Gk 354,"caricature, Albert Üksip",354.0,paper,,caricatures,,,,,,the author,"Randel, Felix",,,,drawing,height,cm,"25,7",ETMM,_,2056.0,,,Gk,,,1.0,,1.0,,,satisfactory,brown,"F. Randel ""Deserving actor A. Üksip""",caricature
43,2739344,,,,,,,,,,,,,,,,,,,,,AM,,,,,F,3.0,,1.0,,1.0,,,good,,,photo
44,2503378,,,,,,,,,,,,,,,,,,,,,ETMM,_,7669.0,,,Mo,1.0,20:06,1.0,,1.0,,,good,,,plan
45,3563659,ETMM _ 9712 T 463:2/42:4,"Costume design for the character Olga in the play Victim. R. Kangro, Estonia 1981",463.0,paper,,theater performances,,1981,,ei,,liaison organization,Teater Estonia,,,,mixed media,,,,ETMM,_,9712.0,,,T,2.0,42:04:00,1.0,,1.0,,,good,,,design/drawing/sketch
46,3402896,AM F 33185:48,"Tallinn Canteens, Restaurants and Cafes Trust. Canteen ""Kungla"", Karjamaa tn. 4, ca 1960 - 1970.",33185.0,silver gelatin paper,,catering service,,1960,1970,ei,"Tallinn, Estonia",,,,,,,height,cm,"17,2",AM,,,,,F,48.0,,1.0,Albums handed over by the liquidation committee of the Museum of Economic History.,1.0,,,good,,,photo
47,4040988,ETMM _ 9949 M 203:2/186:3,"Manuscript, Naissoo, Uno-One far away day - for mixed choir",203.0,paper,,composing,,,,,,the author,"Naissoo, Uno",,,,handwriting,,,,ETMM,_,9949.0,,,M,2.0,186:03:00,1.0,,1.0,,,satisfactory,,,manuscript
48,3288463,AM _ 21081 G 7732,Hiiumaa motif,7732.0,paper,,landscapes,,,,,,the author,"Roosma, Maks",,,,soft varnish,height,cm,"31,5",AM,_,21081.0,,,G,,,1.0,,1.0,,,good,,,graphics
49,3690575,ETMM _ 10388 T 22:2/47:14,Costume design for the actress Paula from the Vanemuine Theater production Tooma dohter. Paula's wedding,22.0,paper,,theater performances,the city of Tartu,1967,,ei,Estonia,the author,"Sander, Georg",,,,watercolor,height,cm,"30,5",ETMM,_,10388.0,,,T,2.0,47:14:00,1.0,,1.0,,,good,,,design/drawing/sketch
50,2743782,AM _ 1151-R F 1545,Tankers of the Estonian Rifle Corps go into battle.,1545.0,silver gelatin paper,,army,,,,,,,,,,,black and white photography,height,cm,"6,1",AM,_,1151.0,,R,F,,,1.0,,,,,good,,,photo
51,3186852,ETMM _ 5743 M 15:1/188:2,"Photo, Eduard Visnapuu, Painting by Friedebert Tugla",15.0,photographic material,,photography,,,,,,participant,"Tuglas, Friedebert",,,,,,,,ETMM,_,5743.0,,,M,1.0,188:02:00,1.0,,1.0,,,satisfactory,,,photo
52,2763190,,,,,,,,,,,,,,,,,,,,,AM,,,,,N,,,1.0,,0.0,,,good,,,photo negative
53,3394002,,,,,,,,,,,,,,,,,,,,,AM,,,,,F,124.0,,1.0,Albums handed over by the liquidation commission of the Museum of Economic History.,1.0,,,good,,,photo
54,2051695,,,,,,,,,,,,,,,,,,,,,AM,,,,,F,129.0,,1.0,,,,,good,,,photo
55,3975681,ETMM _ 8435 M 53:1/95:11,Telegram with congratulations to N.Goldschmidt from Maria Mihhailova and Oskar Lind,53.0,paper,,correspondence,,1960,,ei,,addressee,"Goldschmidt, Nikolai",,,,,,,,ETMM,_,8435.0,,,M,1.0,95:11:00,1.0,,1.0,,,good,,,telegram
56,3523623,ETMM _ 7215 M 8:1/113:4,"Kava, Franz Erika, opera -Demon in Estonia theater",8.0,paper,,culture,,1953,,ei,,conductor,"Nigula, Priit",,,,,,,,ETMM,_,7215.0,,,M,1.0,113:04:00,1.0,,1.0,,,satisfactory,,,plan
57,3430424,,,,,,,,,,,,,,,,,,,,,AM,,,,,F,46.0,,1.0,Items handed over by the liquidation commission of the Museum of Economic History.,1.0,,,good,,,photo
58,397555,,,,,,sports,,2008,,ei,Estonia,,,,,,,height,cm,42,AM,,,,,F158,27.0,,1.0,,1.0,Photo poster. The poster depicts roller skaters. Sponsor logos at the bottom. In multi-color printing. Dimensions: 42x59 cm.,,good,dark red,Photo poster. The poster depicts roller skaters. Sponsor logos at the bottom. In multi-color printing. Dimensions: 42x59 cm.,poster
59,4313015,,,,,,making music and singing,,,,,Austria,performer,Vienna Philharmonic Orchestra,,,,,diameter,cm,30,ETMM,_,9967.0,,,Hp,,,1.0,,1.0,,,satisfactory,,"A: F. Schubert: Symphony no. 8 in B minor, H minor: Unfinished, 2nd Movement Part 2 Andante con moto
B. cont",audio recording
60,2794249,,,,,,,,,,,,,,,,,,,,,AM,,,,,N,1.0,,1.0,,1.0,,,good,,,photo negative
61,3282300,ETMM _ 9982 T 187:230/Ar,Alexandra,187.0,paper,,printing/ publishing,the city of Leipzig,,,,Germany,publisher,Philipp Reclam,,,,printing,volume of the book,lk,80,ETMM,_,9982.0,,,T,230.0,Ar,1.0,,1.0,,,satisfactory,,ENSV State Public Library,book
62,2782754,AM _ 13738:256-231 P 936,Von Dehn seal with coat of arms,936.0,organic matter,Polish,<making/originating>,,1701,1800,ei,,,,,,,,diameter,cm,"2,4",AM,_,13738.0,256.0,231,P,,,1.0,Taught from the collection of the Estonian Society,1.0,,Cracked,satisfactory,,"A rafter is depicted on the French coat of arms placed on an oval seal field. Birch wears a noble crown and a rafter placed between two eagle wings. The shield is decorated with a rich plant ornament. Initials ""J v. D"" on header.",there/imprint
63,2012029,,,,,,theater,,2011,,ei,,the author,"Noormets, Andres",,"Advertising page: Hamlet Anderson, Endla 2011",name on the source document,,document volume,leht,1,ETMM,_,12569.0,23.0,,T,2.0,146:11:00,1.0,,1.0,,,good,,,plan
64,2338531,AM F158 10:87,SELECTION CONCERTS of the choir laureates of the 1st All-Union Artistic Self-Activity Festival in Tallinn from June 29 to July 2. (Russian k.),10.0,paper,,printing/ publishing,,,,,,printer (maker),"""Oktoober"" trükikoda",,,,,height,cm,89,AM,,,,,F158,87.0,,1.0,,,,,good,,"Multi-color printing. Purples, reds, oranges, greens, etc. on a blue background. circles and arcs. Text above. Offset printing.",poster
65,2039779,,,,,,,,,,,,,,,,,,,,,AM,_,13741.0,337.0,,F,,,1.0,,,,,good,,,photo
66,3100451,ETMM _ 5477 T 37:2/11:6,Costume design for the character Don Juan in the play Much Ado About Nothing at the Estonia Theater,37.0,paper,,theater performances,,1936,,ei,"Tallinn, Estonia",actor,"Tõnopa, Juhan",,,,watercolor,height,cm,30,ETMM,_,5477.0,,,T,2.0,11:06,1.0,,1.0,,,satisfactory,,,design/drawing/sketch
67,4114904,ETMM _ 8490 M 144:2/134:7,"""Dance Story"" for cello with piano accompaniment",144.0,paper,,composing,,,,,,the author,"Kõrver, Boris",,,,handwriting,,,,ETMM,_,8490.0,,,M,2.0,134:07:00,1.0,,1.0,,,satisfactory,,,"manuscript, musical composition"
68,3719739,ETMM _ 7223 T 402:766/Ar,Peter returns home,402.0,paper,,printing/ publishing,the city of Moscow,1938,,ei,Russian,publisher,Искусство,,,,printing,volume of the book,lk,79,ETMM,_,7223.0,,,T,766.0,Ar,1.0,,1.0,,,satisfactory,,,book
69,2931780,ETMM _ 8201 M 13:1/12:3,"Aino Tamm, C. G. Röder invoice regarding the printing of Estonian folk songs",13.0,paper,,printing,,13.10.1922,,ei,Germany,participant,"Tamm, Aino",,,,,,,,ETMM,_,8201.0,,,M,1.0,12:03,1.0,,1.0,,,good,,,document
70,2040739,AM F 27045,"Directive No. 02 of the Commander of the Military Forces of the USSR, Major General Lyubovtsev, dated July 5, 1941.",27045.0,photo material>photo paper>silver gelatin paper,,copying (making),,,,,,,,,,,photography>black and white photography,page height,cm,9,AM,,,,,F,,,1.0,,0.0,,,good,,Transferred by: Vello Kuldna (AM),photo
71,3202665,AM _ 16612:207/1 P 5861:1,Rapla church seal,5861.0,Polish,,preparation,,1801,1900,ei,,,,,,,,diameter,cm,"2,9",AM,_,16612.0,207.0,1,P,1.0,,1.0,,1.0,,All right,good,,Siegel der kirche zu Rappel,there/imprint
72,3965992,ETMM _ 10154 M 41:2/158:1,"Manuscript, Ernesaks, Gustav-Ode to a song party, lyrics by M. Raud, for joint choir, score",41.0,paper,,composing,,1983,,ei,,the author,"Ernesaks, Gustav",,,,,,,,ETMM,_,10154.0,,,M,2.0,158:01:00,1.0,,1.0,,,satisfactory,,,manuscript
73,2076604,AM N 5634:60,Pühajärve,5634.0,photographic material>emulsion>silver gelatin emulsion,,taking pictures,,1900,1910,,"Tartu, Estonia",,,,,,photography>black and white photography,width,cm,15,AM,,,,,N,60.0,,1.0,,1.0,,silver mirror,good,,,photo negative
74,2334292,AM _ 27585 A 580:846,Sieve button,580.0,bronze,,,,,,,,,,,,,,,,,AM,_,27585.0,,,A,846.0,,1.0,Obtained during excavations led by Mati Mandel in 1983-1990. (II mine),,,,good,,,archaeological find
75,2159050,ETMM _ 12567:227 Mo 310:1/126:22,Estonian Music Center in New York: Kaljo Raid: Concert programs,310.0,paper,,culture,,25.04.1981,,ei,,participant,"Kurman, Juta",,Kaljo Raid- Concert programs,name on the source document,,,,,ETMM,_,12567.0,227.0,,Mo,1.0,126:22:00,1.0,The archive of the Estonian Music Center in New York collected by Juta Kurman.,,,,good,,,plan
76,2718791,,,,,,,,,,,,,,,,,,,,,AM,,,,,F,,,1.0,,1.0,,,good,,,photo
77,3526278,,,,,,preparation,,,,,,the author,"Püüman, Kustav-Agu",,,,,,,,ETMM,_,12875.0,728.0,,T,2.0,84:39:00,1.0,"T412 Kustav-Agu Püyman's theater designs, archive materials, photos",1.0,T412:2/84:39,,good,,,design/drawing/sketch
78,2458121,,,,,,,,,,,,,,,,,,,,,ETMM,_,8291.0,,,T,1.0,57:134,1.0,,1.0,,,good,,,plan
79,2936362,ETMM _ 8201 M 13:1/13:14,"Aino Tamm, notes regarding the translation and printing of Estonian folk songs",13.0,paper,,printing,,,,,,participant,"Tamm, Aino",,,,,,,,ETMM,_,8201.0,,,M,1.0,13:14,1.0,,1.0,,,good,,,notes
80,3851479,AM _ 13672:183 G 5789,Portrait of Wilhelm Petersenn,5789.0,paper,,portrait of a man,,,,,,the author,"Krause, Wilhelm",,,,lithography,height,cm,"14,9",AM,_,13672.0,183.0,,G,,,1.0,,1.0,,yellowed,satisfactory,,,graphics
81,3269238,ETMM _ 11457 M 159:1/479:3,"Document, Karl Leichter, VII IMC Congress, England",159.0,paper,,culture,,1971,,ei,,the owner,"Leichter, Karl",,,,,,,,ETMM,_,11457.0,,,M,1.0,479:03:00,1.0,,1.0,,,satisfactory,,,document
82,2662680,AM P- 453,"A set of advertising sheets for office products of the plastic products factory ""Salvo"".",453.0,paper,,industry,,1971,,ei,Estonia,,,,,,,height,cm,"21,5",AM,,,,,P-,,,1.0,"The items were obtained from Mustamäe, Tallinn, among the inheritance. The apartment belonged to Maido Limbaku (1934-2000), who at one time worked as the manager of the ""Workers' Cellar"" branch of the State Historical Museum of the USSR.
Seals bearing the D mark were handed over in 1953 by the ERM (publication act no. 139; 08.01.53). It is not known why and how they came into the hands of a private person.",1.0,1971. Dimensions 21.5x15 cm.,,good,,,in small print
83,3658610,ETMM _ 9020 T 159:1/41:4,Letter from P. Ivanovski to Georg Otsa from Kharkov,159.0,paper,,theater,the city of Kharkiv,29.09.1960,,ei,Ukraine,addressee,"Ots, Georg",,,,typing,document volume,leht,1,ETMM,_,9020.0,,,T,1.0,41:04:00,1.0,,1.0,,,good,,,a letter
84,2405510,,,,,,,,,,,,,,,,,,,,,AM,,,,,N,,,1.0,,1.0,,,good,,,photo negative
85,3393608,,,,,,,,,,,,,,,,,,,,,AM,,,,,F,31.0,,1.0,Albums handed over by the liquidation commission of the Museum of Economic History.,1.0,,,good,,,photo
86,3208239,ETMM _ 11025 T 7:3177/Ar,Mutionu's birthday,7.0,paper,,playwriting,,,,,,the author,"Karro, Harry",,,,typing,document volume,lk,25,ETMM,_,11025.0,,,T,3177.0,Ar,1.0,,1.0,,,good,,A machinist. ok,manuscript
87,3683038,ETMM _ Fk 36849/r,"Kylmataat, Teater Estonia, 1950, in parts: Kylmataat - Aaro Pärn, Dunja - Meta Kodanipork",36849.0,movie,,taking pictures,,1950,,ei,"Tallinn, Estonia",the author,"Alla, Armin",,,,black and white photography,negative format,60 x 60 mm,1,ETMM,_,,,,Fk,,r,1.0,,1.0,,,satisfactory,,,photo negative
88,3676832,,,,,,,,,,,,,,,,,,,,,ETMM,_,6237.0,,,M,1.0,76:10:00,1.0,,1.0,,,satisfactory,,,invitation
89,3675719,ETMM _ 11008 T 60:2/191:25,Costume design by Aabram Wulfson for the actor from the Pärnu Theater production Tailors on Sillamats,60.0,paper,,theater performances,the city of Pärnu,1977,,ei,Estonia,the author,"Uibo, Uno",,,,pen,height,cm,31,ETMM,_,11008.0,,,T,2.0,191:25:00,1.0,,1.0,,,good,,,design/drawing/sketch
90,3182645,ETMM _ 7378 M 14:1/88:2,"Invitation, Karl Leinus, invitation cards",14.0,paper,,culture,,1962,1967,ei,,addressee,"Leinus, Karl",,,,,,,,ETMM,_,7378.0,,,M,1.0,88:02:00,1.0,,1.0,,,satisfactory,,,invitation
91,2902687,ETMM _ 10820 Mo 10:1/18:40,"Program, Symphony concert, Bach
Mass in B minor, dirl R. Matsov",10.0,paper,,culture,,22.02.1968,,ei,,conductor,"Matsov, Roman",,,,,,,,ETMM,_,10820.0,,,Mo,1.0,18:40,1.0,,1.0,,,good,,,plan
92,4218771,,,,,,,,,,,,,,,,,,,,,ETMM,_,6959.0,,,Af,1.0,M,1.0,,1.0,,,good,,,poster
93,1617693,AM _ 38443:1 K 14143:1,Matchbox,14143.0,wood,,wood and paper industry,the city of Viljandi,,,,Estonia,,,,Matchboxes,name on the source document,,height,cm,"1,5",AM,_,38443.0,1.0,,K,1.0,,1.0,"Cigarette packs were bought by Vahur Lõhmus' father-in-law, Jaan Vaitmaa, for vouchers in 1990-1991. in years",1.0,,,good,,The box of matches is made of white cardboard and has a cuboid shape; on its obverse is a man in a black suit and top hat; there are wooden matches in the box,packaging
94,2334524,AM _ 32444 A 592:196,Earthenware,592.0,clay,,,,,,,,,,,,,,,,,AM,_,32444.0,,,A,196.0,,1.0,Obtained during excavations led by Mati Mandel in 1990-1997,,,,good,,"The findings of the 1996 archaeological excavations of the History Museum (Lihula Bishop's Castle, Lihula, Läänemaa)",archaeological find
95,3300322,ETMM _ 4868 Fk 7392/kl,"Gypsy baron, Estonia, 1912",7392.0,photo emulsion,,theater,,,,,,the author,J. & P. Parikas,,,,black and white photography,image height,cm,13,ETMM,_,4868.0,,,Fk,,kl,1.0,The History Museum handed over the Parikas Glass Negatives to the Theater and Music Museum on 10.11.1948,1.0,,,satisfactory,,,photo negative
96,2084015,ETMM _ 8741 M 9:2/28:1,Prelude in B flat major. Prelude in F major,9.0,paper,,music,,,,,,,,,,,manuscript,,,,ETMM,_,8741.0,,,M,2.0,28:01:00,1.0,Mart Saare personal collection M9,1.0,"V.R. ""2 Preludes (B, F)"" added by","yellowed, torn",satisfactory,,,manuscript
97,3157302,ETMM _ 6458 T 34:2/36:4,Puppet design for the play The Ugly Girl at Puppet Theatre,34.0,paper,,theater performances,,1959,,ei,"Tallinn, Estonia",liaison organization,SA NUKU,,,,mascara,page height,cm,"21,2",ETMM,_,6458.0,,,T,2.0,36:04:00,1.0,,1.0,,,good,,R. Laidre,design/drawing/sketch
98,2722313,,,,,,,,,,,,,,,,,,,,,AM,,,,,F,,,1.0,,1.0,,,good,,,photo
99,3239324,,,,,,correspondence,,,,,Estonia,the author,"Aav, Evald",,,,handwriting,document volume,leht,1,ETMM,_,7852.0,,,M,1.0,13:03,1.0,,1.0,,,satisfactory,,,paper
