id,text_features,type,source
397555,Photo poster. The poster depicts roller skaters. Sponsor logos at the bottom. In multi-color printing. Dimensions: 42x59 cm. Photo poster. The poster depicts roller skaters. Sponsor logos at the bottom. In multi-color printing. Dimensions: 42x59 cm.,poster,train
4313015,"A: F. Schubert: Symphony no. 8 in B minor, H minor: Unfinished, 2nd Movement Part 2 Andante con moto
B. cont",audio recording,train
3282300,Alexandra     ENSV State Public Library,book,train
2782754,"Von Dehn seal with coat of arms Polish  Taught from the collection of the Estonian Society  A rafter is depicted on the French coat of arms placed on an oval seal field. Birch wears a noble crown and a rafter placed between two eagle wings. The shield is decorated with a rich plant ornament. Initials ""J v. D"" on header. Cracked",seal/imprint,train
2012029,"Advertising page: Hamlet Anderson, Endla 2011",plan,train
2338531,"SELECTION CONCERTS of the choir laureates of the 1st All-Union Artistic Self-Activity Festival in Tallinn from June 29 to July 2. (Russian k.)     Multi-color printing. Purples, reds, oranges, greens, etc. on a blue background. circles and arcs. Text above. Offset printing.",poster,train
3100451,Costume design for the character Don Juan in the play Much Ado About Nothing at the Estonia Theater,design/drawing/sketch,train
4114904,"""Dance Story"" for cello with piano accompaniment","manuscript, musical composition",train
3719739,Peter returns home,book,train
2931780,"Aino Tamm, C. G. Röder invoice regarding the printing of Estonian folk songs",document,train
2040739,"Directive No. 02 of the Commander of the Military Forces of the USSR, Major General Lyubovtsev, dated July 5, 1941.     Transferred by: Vello Kuldna (AM)",photo,train
3202665,Rapla church seal     Siegel der kirche zu Rappel All right,seal/imprint,train
3965992,"Manuscript, Ernesaks, Gustav-Ode to a song party, lyrics by M. Raud, for joint choir, score",manuscript,train
2076604,Pühajärve silver mirror,photo negative,train
2334292,Sieve button   Obtained during excavations led by Mati Mandel in 1983-1990. (II mine),archaeological find,train
2159050,Estonian Music Center in New York: Kaljo Raid: Concert programs  Kaljo Raid- Concert programs The archive of the Estonian Music Center in New York collected by Juta Kurman.,plan,train
3526278,"T412 Kustav-Agu Püyman's theater designs, archive materials, photos T412:2/84:39",design/drawing/sketch,train
2936362,"Aino Tamm, notes regarding the translation and printing of Estonian folk songs",notes,train
3851479,Portrait of Wilhelm Petersenn yellowed,graphics,train
3269238,"Document, Karl Leichter, VII IMC Congress, England",document,train
2662680,"A set of advertising sheets for office products of the plastic products factory ""Salvo"".   The items were obtained from Mustamäe, Tallinn, among the inheritance. The apartment belonged to Maido Limbaku (1934-2000), who at one time worked as the manager of the ""Workers' Cellar"" branch of the State Historical Museum of the USSR.
Seals bearing the D mark were handed over in 1953 by the ERM (publication act no. 139; 08.01.53). It is not known why and how they came into the hands of a private person. 1971. Dimensions 21.5x15 cm.",small print,train
3658610,Letter from P. Ivanovski to Georg Otsa from Kharkov,letter,train
3393608,Albums handed over by the liquidation commission of the Museum of Economic History.,photo,train
3208239,Mutionu's birthday     A machinist. ok,manuscript,train
3683038,"Kylmataat, Teater Estonia, 1950, in parts: Kylmataat - Aaro Pärn, Dunja - Meta Kodanipork",photo negative,train
3675719,Costume design by Aabram Wulfson for the actor from the Pärnu Theater production Tailors on Sillamats,design/drawing/sketch,train
3182645,"Invitation, Karl Leinus, invitation cards",invitation,train
2902687,"Program, Symphony concert, Bach
Mass in B minor, dirl R. Matsov",plan,train
1617693,"Matchbox  Matchboxes Cigarette packs were bought by Vahur Lõhmus' father-in-law, Jaan Vaitmaa, for vouchers in 1990-1991. in years  The box of matches is made of white cardboard and has a cuboid shape; on its obverse is a man in a black suit and top hat; there are wooden matches in the box",packaging,train
2334524,"Earthenware   Obtained during excavations led by Mati Mandel in 1990-1997  The findings of the 1996 archaeological excavations of the History Museum (Lihula Bishop's Castle, Lihula, Läänemaa)",archaeological find,train
3300322,"Gypsy baron, Estonia, 1912   The History Museum handed over the Parikas Glass Negatives to the Theater and Music Museum on 10.11.1948",photo negative,train
2084015,"Prelude in B flat major. Prelude in F major   Mart Saare personal collection M9 V.R. ""2 Preludes (B, F)"" added by yellowed, torn",manuscript,train
3157302,Puppet design for the play The Ugly Girl at Puppet Theatre     R. Laidre,design/drawing/sketch,train
3359273,"The patient ploughman, music by Horre Zeiger, lyrics by Heldur Karmo   Horre Zeiger's documents, photos, scores collected as part of the popular music exhibition project. The material has musical historical value. Horre Zeiger's collection is M 520. M520:2/6:1 score with words","manuscript, sheet music",train
3482692,"EMO Mixed Choir, Estonia and State Broadcasting Symphony Orchestra, N. Loona, I. Uudelepp, R. Sildnik, V. Veikat, H. Schüts, T. Koha, K. Shypris, conductor V. Nerep",document,train
4092977,"beauty poster, musical: Who believes, who doesn't; A. In Liv. Estonia in 1970     beauty poster with blue bottom",poster,train
3525819,Letter from Aliide Ungerson to Juhan Simm,letter,train
4049751,"Uus Talu magazine, No. 3, 1934",magazines,train
2844639,"Symphony concert program, September 28, 1958, conductor Neeme Järvi",plan,train
2861021,"Program, Symphony concert, dir. Q.
Blacksmith, 1961",plan,train
3910429,Printed at the expense and letters of H. Laakmann. Leaves yellowed. Cover edges worn.,book,train
3912552,Leonid Leonov. Premiere 07.10.1957. Directed by Kulno Süvalep.,poster,train
3971793,"Plan, Kaljuste, Heino-plan of the 1975 general song party",plan,train
3370425,"Photo, Karl Leichter, Laine Leichter with daughter Epu",photo,train
2669608,Table pages: Estonia and the European Union   Information materials of the European Union. Transferred by the State Chancellery. 16 pcs. 2000-2008. a. Dimensions 29.8x21 cm.,small print,train
2653050,"Tallinn, Mäekalda street.",photo negative,train
2233976,"Shooting of the movie ""Indrek"".   A partially preserved collection of negatives from Tallinnfilm's photo archive - coverage of three films: ""Indrek"", ""Dangerous Games"" and ""Colorful Dreams"". Submitted to the Film Museum via Kinoliidu. Black and white negative with 6x6 frame format Working moment: Maurus school students",photo negative,train
3231338,Greetings and congratulations from institutions and organizations to Aino Tamme.,postcard,train
2491379,"Group photo: criminal police officers and police chiefs  Photo in the album  Photos from the photo album F32998 of Johann Kokla, prefect of Lääne Saare. From the left: 1. ..., 2. Otto Eiland (Heinlaid), 3. August Ploom, 4. Johann Kokla, 5. Emil Jürisson (Jürisoo)?",photo,train
2708383,"Tallinn, Pirita, Kloostrimetsa. Harju Hunting Club.",photo negative,train
2774358,Seal of Count Osten-Sacken with coat of arms Polish  Taught from the collection of the Estonian Society Cracked,seal/imprint,train
3626329,"Costume design, Act II Children, girls in tatters for the play Mimeski. S. Grünberg, L. Sumera, Vanemuine 1981",design/drawing/sketch,train
2804935,"Toomas Tondu: Brochure, Baden-Baden",document,train
2473669,"Series: ""5 years since the liberation of Odessa from the German fascist usurpers by the Soviet army"". Odessa is being restored with diligent work. The city becomes as beautiful as before the war.",photo,train
3667204,Costume design for Maggi from Pärnu Theater's production The Story of Billy Jack,design/drawing/sketch,train
203576,"Suite ""Four sketches"" for wind quintet. Score     4 sketches. Suite for brass quintet","manuscript, musical composition",train
3063593,Victoria & Albert Museum. A Picture Book of the Pre-Raphaelites and their School     Autogr. of K. JUngholz.,album,train
2164795,"""Hello, kuusi, hello, cheater"", ""Imäl oli jo"" for mixed choir   Mart Saare personal collection M9 yellowed, frayed","script, song/vocal music",train
3942780,"Revelation in a storm     Paperback book with gray cardboard covers. Issued in Tartu in 1909. 42 pages. Illustrated. Printed by Ed. Bergmann trk. worn, yellowed, dirty, broken",book,train
3435817,Items/albums handed over by the liquidation commission of the Museum of Economic History.,photo,train
4132166,"""Antti, ärtu darling"" for male choir a cappella","script, song/vocal music",train
3817018,"Portrait of Voldemar Panso, late 1960s
in a home environment, K. With great dedication   Received for the museum from the 2017-2018 collection trip to the attic of the Pansode house T170:2/11:70",photo,train
3534169,"Costume design for the character Mehis in the production Tasuleegid. E. Kapp, Estonia 1945",design/drawing/sketch,train
4049987,"Eesti Naine magazine, No. 12, 1937",magazines,train
2521536,killing    treasures in a metal container,coin,train
3606621,"Illustration Kitchen maid at a flowering tree, Nightingale",design/drawing/sketch,train
3535322,"Plan, Franz Erika, play-Fanny and her servants",plan,train
2402525,"Book: Bernhard Kellermann, Yester and Li, ""Uusim lijastur"", Tallinn 1927",book,train
2039850,"Portrait: Jürri Kask, 65 years old, from Rapla parish. From the series of portraits by Ch.Borchardt ""Estonian types"". The series (a total of 12 portraits) was judged worthy of a silver medal at the all-Russian ethnographic exhibition of the Society of Naturalists of the Imperial University of Moscow in 1867.     511. III. 301 d.",photo,train
2351041,"Medal     1500 years Kiev, Ivan Franko",medal,train
2073383,Evangelical Lutheran Church,photo negative,train
2605099,Portrait of J.V. Stalin,country,train
4028766,Digital photos of Ugala Theater productions 2015 - 2019,digital image,train
2657551,"Tallinn, Põhja-Tallinn, Kalamaja, corner of J. Nikonov (Soo) street and Põhja puistee.",photo negative,train
2806836,History Museum staff artist Richard Ringo,photo negative,train
2551044,Proof: Folk singers: Aleksander Jürgens: Vändra: Proof of employment at Dvigatel: 1941   Folk songs Mo 237,document,train
3664009,Costume design for actor Timofeev from Pärnu Theater's production Five evenings,design/drawing/sketch,train
2479998,Photo: August Pulst: Aesoo's violin choir: two photos: 1905: Photos Jüri Riismann   August Pulst personal collection M234,photo,train
2074599,"Steamer ""Nuremberg"" in port Edges silver mirror, sulfuration",photo negative,train
2214768,"Product sample of ""consumer glass"".   This is A. Valvet, who worked in the 1960s-1970s. in the factory ""Tarbeklaas"" as a photographer, with photos and negatives of the company's product samples. In addition, cards with watermarks from the ""Zodiac signs"" product line.",photo negative,train
3242426,"Photo from Teater Estonia's spoken word play What You Want pin holes, traces of glue on the back",photo,train
2233917,"Shooting of the movie ""Indrek"".   A partially preserved collection of negatives from Tallinnfilm's photo archive - coverage of three films: ""Indrek"", ""Dangerous Games"" and ""Colorful Dreams"". Submitted to the Film Museum via Kinoliidu. Black and white negative with 6x6 frame format Miralda - Maria Klenskaya",photo negative,train
3335540,photos obtained from VAT Theatre,digital image,train
4045413,"A: L. Beethoven: Symphony no. 2 in D major, Op. 36
1. Adagio molto. Allegro con brio
2. Larghetto
B: L. Beerhoven: Symphony no. 2 in D major, op.36
3. Scherzo. Allergo
4. Allegro molto",audio recording,train
3678883,Situational photo of Georg Otsa with balloons,photo,train
236640,"pencil, sketch sketch; in the right corner sign. E. Einmann; in the left corner Ants Lauter 1965; 34x45; man sitting in armchair, head view left, left arm resting on couch with elbow, right arm extended forward",graphics,train
2667774,Seal of C. H. Z Polish  Taught from the collection of the Estonian Society  Dominus Protector Meus Cracked,seal/imprint,train
3910482,"Document, Lepnurm, Hugo- Valga church organ",document,train
3637543,"Photo, Eugen Kapp, 1977",photo,train
3523151,"Kava, Eduard Visnapuu, As You Like It",plan,train
2041852,Pärnu Moat     Bought from Vilhelmine Tamse.,"photo, postcard",train
2911905,"Letter to Aino Tamme from Tooni Kroon, Tartu 02/06/1935",letter,train
2334890,"coin   Archaeological excavation of the Uugla settlement in 2005, finds 1-322; 2006 findings 323 - 508. M. Mandel",archaeological find,train
3626071,"Don Quixote, Teater Estonia, 1958, in parts: Sancho Panza - Heino Otto, Don Quixote - Valter Luts",photo negative,train
3165012,"drawing, Medical nurse Estonian corps from a rest home in 1943. Lightly soiled",drawing,train
3254410,"Vaclav Šuk's letter to Virve Lippus   Archives of Endel Lippus and Virve Lippus M 169, some materials from Urve Lippus M 131 24:01:00",letter,train
4033949,"Organ evening program page, Tallinn St. John's Church, 14.02.1923",plan,train
3225083,"Toomas Nipernaadi, Drama Theater, 1936, scene from the fourth short story, A Day in Terikeste Village",photo negative,train
3840359,"in the picture: Lilija Vasseljova performs, Elsa Avesson plays the piano",photo negative,train
3448484,Costume design for the character Old Men. Prince Igor. Estonia 1951,design/drawing/sketch,train
4049455,"War Cry Magazine, No. 115, 1939",magazines,train
2197588,"Invitation: Silvia Laidla Actress Silvia Laidla's personal collection (documents, photos, objects)",invitation,train
3329188,"Invitation, Karl Leichter, Arne Mikk 50th anniversary concert",invitation,train
2077699,"Pictures from the life of the Estonian air squadron ""Tasuja"". Lasnamäe in Tallinn. Gunsmith Nikolai Minayev.     Purchased from ""ETA"".",photo negative,train
2319413,Shepherd's stick needle   Died in 1971. V. In the chin,archaeological find,train
3432967,Items handed over by the liquidation commission of the Museum of Economic History - photo albums.,photo,train
2725032,The book Adam learns about the world,book,train
3341913,Costume design for the character Mrs. Helene Alving in the play Ghosts in the Russian Theater   Decoration and costume designs by theater artist Maimu Vannas. So far unrepresented material in his personal collection.,design/drawing/sketch,train
4291396,"in the picture: concert of the Estonian Radio mixed choir and symphony orchestra, performance of Beethoven's Missa Solemnis, flowers are handed to Kaie Konrad    TB200222",photo negative,train
198701,"""Kodumaa laul"" op.43 for mixed choir a cappella     Homeland song","script, song/vocal music",train
3390767,"The donor's explanation about the family relationship between the persons appearing on the documents:

""These documents reached us through Ralf Valdek's second husband, Maimu Valdek, who has been in the county for several years now. The Tombergs were Ralf's maternal line and the Valdekus' paternal line. Ralf was the only child. There are no descendants.""

Ralf Valdek (September 20, 1909-1996), graduated from Tallinn Real School in 1927; Alumnus of corp Vironia, candidate of technical sciences. In 1947, he received a prize from Soviet Estonia for his research on oil shale phenols. From 1944, he worked as a senior scientific employee of the semiconductor sector of the Institute of Thermophysics and Electrophysics of the ENSV TA. Boriss and Georg Valdek's cousin.  Collodion photo",photo,train
3625991,"Giselle, Teater Estonia, 1959, in parts: Giselle – Eike Joasoo",photo negative,train
2334007,Quartz fragments   Complained by A. Kriiska in 1997. I from the edge of the grave,archaeological find,train
3706039,Der unverstandene Mann     Autograph of Otto Aloe,book,train
3555463,"Photo of the Estonian Theater Choir, 1935/1936     large format",photo,train
3147748,"Program, Eduard Visnapuu, Tartu Women's Song Society women's choir",plan,train
3391839,Albums to be handed over during the liquidation of the Museum of Economic History.,photo,train
4030435,Digital photos of Rakvere Theatre's 2018-2019 productions  Marina Verani - Silja Miks,digital image,train
4283240,"Letter, correspondence of the Music Museum Association",letter,train
4046991,Nordics     Estonian Society Estonian Theater Library,manuscript,train
3493558,"Letter from the newspaper ""Edasi""",letter,train
2331623,Pieces of earthenware   Complained by M. Mandel in 1987. Instead of the House of Culture,archaeological find,train
4086041,"Rome and Julja, Noorsoo Theater, 1969, in parts: Lady Capuletti - Anne Tuuling, Tybalt - Tõnu Tamm, Mercutio - Mauri Raus, Montecchi - Karl Kalkun, Lady Montecchi - Karin Karm    TB130321",photo negative,train
3246448,"Box of dry ingredients PEPPER     1. Exhibited at the AM exhibition ""Oi aegu ammusueid..."" in Maarjamäe Castle, Dec. 1994 to March 1996 The box is worn and has rust spots",crate/box,train
223873,Photograph (negative). Presentation of the annual awards of the ENSV Theater Association. March 1978. Lembit Eelmäe receives the 1st class award for actors. The award will be given by Kaarel Ird. (see also Sirp and Vasar no. 12; 24 03.1978). Photo by Elmar Köster. Black and white negative   1978 1978,photo negative,train
4304221,"Letter of thanks, to the Music Museum Association from the Estonian Singers' Union, 1935 (roll)",letter of honor/honorary address,train
2318277,Bracelet no   Died by M. Mandel 1976-80.,archaeological find,train
3582436,"Costume design Milkmaids, saleswomen, peasant women for the play Boheem. G. Puccini, Vanemuine 2001   obtained from ""Vanemuise"" G. Puccini; 12.04.2001 G. Puccini; 12.04.2001",design/drawing/sketch,train
4260960,"Minutes of the board meeting of the Foundation for the Support of Stage Artists of Estonia Society tears, traces of soot",document,train
4085299,Letter from L. Roosipuu to Adolf Vedro: wishes to get a room with A. Vedro,paper,train
3512533,"T412 Kustav-Agu Püyman's theater designs, archive materials, photos T412:2/63:4",design/drawing/sketch,train
2653053,"Tallinn, Mäekalda street.",photo negative,train
393301,"Calendars of different formats and purposes. Pocket calendar, 1 sheet. M: 11 x 7 cm. Pocket calendar, 1 sheet.",calendar,train
2405132,Crushed Tallinn in 1944.,photo,train
3370602,"graphic, Tiesenhausen falls with the flag of the Order at the Battle of Ascheraden. 1842 yellowed, mottled",graphics,train
3559591,"Archival materials and photos of Kalju Haan, the former head of the ETMM theater department, theater historian, lecturer, director of literature at the Drama Theater and editor-in-chief of the theater lexicon. The materials were sent to the museum after Kalju Haan's death in 2015. ETMM T575 2/3:17",photo,train
2168274,"Photograph (negative). ""Three Crosses Opera"" (Bertold Brecht). Pärnu Drama Theater, 1975. Polly - Lii Tedre. Photo: Valdur Vahi. Black and white negative.   Pärnu Theatre; author: B. Brecht; 1975 Pärnu Theatre; author: B. Brecht; 1975",photo negative,train
2951331,"Program, Symphony concert, dir.
V. Järvi",plan,train
3985726,Concert schedule: ERSO concert in Romania,plan,train
1683794,"Poster collection in the association's house in Kaartli by the order of the Karli collection March 29, 1937 comedy in the 3rd act, dance, dinner table slightly wrinkled and soiled",poster,train
3240226,Aino Tamme students' evening in the Estonia concert hall,plan,train
4148843,"poster, Rein Rannap. Classical and jazz. Performed by Rein Rannap. 6.12.1986 Leningrad concert hall. Russian k",poster,train
3165708,Perhaps the seal of the church Polish  Taught from the collection of the Estonian Society  Eksi church in Tartu County Cracked,seal/imprint,train
3713972,Colp,graphics,train
3367502,Archive materials handed over by Urmas Sisaski M438:1 M438:1/9:26,plan,train
3509206,"T412 Kustav-Agu Püyman's theater designs, archive materials, photos T412:2/54:38",design/drawing/sketch,train
3051033,A wreath of rays,book,train
2917454,Photo series We wish you luck! - V. Panso's jubilee,photo,train
3622905,Tool guide. per. P.I. Tchaikovsky   Book and sheet music collection bequeathed to the Estonian Theater and Music Museum by Heino Eller's will on 5 March 1993,book,train
3163673,Paucker (Baltic clergy and intellectuals) seal with coat of arms Polish  Taught from the collection of the Estonian Society Cracked,seal/imprint,train
3675542,"Costume design for the character Noormees in the play Carmen. G. Bizet, Vanemuine 1991   obtained from ""Vanemuise"" G. Bizet; 21.12.1991; costume G. Bizet; 21.12.1991; costume",design/drawing/sketch,train
229153,Academic Heimoklub tape for Miina Härma Luluselts for jubilee     1) Miina Hermann's Song Society 2) Akateeminen - Heimoklubi,tape/ribbon,train
4049270,"Kooliuuenduslane magazine, No. 10, 1935",magazines,train
2042428,Portrait: John Girard de Soucanton.     Acc II 943 d,photo,train
2080404,Furnishings of a worker's family's apartment raised to the street by the wall of the building.     Bought from photographer Hans Soosaare,photo negative,train
3489828,The Ministry of Culture bought the negatives from G. Vaidla's widow in 1999 and handed them over to ETMM The Ministry of Culture bought the negatives from G. Vaidla's widow in 1999 and handed them over to ETMM,photo negative,train
2484456,Essays on the history of Russian Soviet drama 1934-1945 Vol. 2,book,train
3621551,"Carrying bag I'm tying    Tote bag, gray poldan fabric, rectangular, worn with black fabric, front rectangular pocket with flap, top zipper, unlined, with two short fabric handles. Worn, dirty, zipper broken",bag,train
3707473,"Letter from Eller, Heino, Ellu Eller to Mart Humala",letter,train
4301057,"A: Meistermeeste song, text: E. Remmelgas, fox, F. Kaasik
B: Another youth, polka, text by E. Remmelgas",audio recording,train
2763821,Book by Thomas Garrique Masaryk. Life and work of the President of the Czechoslovak Republic,book,train
3907569,"Fritz Saran. Optische Instrumente, physik, und elektr. Lehrmittel. Preisliste Nr. VI (6. Auflage) über Lehrmittel. Berlin (early 19th century)     176 pages, ill. Brochure, yellow paper covers with lacquered, pressed pattern. Art Nouveau ornament. Spine broken, corners broken. Yellowed, worn.",book,train
3253897,"Commemoration of Rudolf Tobias's 45th death anniversary in Nõmme Culture House. A string quartet will perform   Archives of Endel Lippus and Virve Lippus M 169, some materials from Urve Lippus M 131 05:25",plan,train
3297646,"Postcard, Karl Leichter, Olav from Sweden",postcard,train
3581119,"F. Schiller, Wilhelm Tell, Essen National Theater 1912-13. T. Altermann about Rudenz.     Reverse letter from T. Altermann to K. Jungholz",postcard,train
3924634,"Portrait photo, Saha, Hillar, from H. Saha 1927. Haapsalu",photo,train
2949453,"Photo, American girl, Teater Estonia glue marks on the back",photo,train
3829811,"A letter. An invitation. Another house around the corner, staging. Väike-Maarja, Jullo Talpsepp, 1961 blue    The play ""The other house around the corner""",letter,train
4103129,"Photo from Teater Estonia's ballet production Paquita, 1969",photo,train
1318526,"Ida Loo-Talvari, portrait, approximately 1933 glass negative   Ida Loo-Talvari",photo,train
3941379,Archival materials and costumes that arrived at the museum after the liquidation of Theater NO99 T600 2/6:9,invitation,train
3422410,"Excursion of Tallinna Toidukaubastu activists to Central Asia 5.-13. May 1973. Bukhara. On Fridays at 5 p.m., Mohammedans gather in their mosques to worship Allah.   Items handed over by the liquidation commission of the Museum of Economic History. Albums.",photo,train
3723169,"A sketch of the scenery design from the Vanemuine Theater production Manon, did not make it to the stage",design/drawing/sketch,train
3535013,"Marje Parikas, biographical materials, handwritten excerpt from the newspaper Päevaleht, Marje Parikas 60 years, 22.11.1960",newspaper,train
3708321,Photo by Georg Ots Rein Laigo in the movie Chance meeting,photo,train
2529075,a penny    treasures in a metal container,coin,train
2042462,"Portrait: girl from Rakvere     The photo is in Heinrich Tiidermann's photo album ""Estonica"". Album received from the liquidation committee of the Learned Estonian Society. Gifted to the Learned Estonian Society by photographer Heinrich Tiidermann in 1903.",photo,train
2046636,Portrait: Johann Heinrich Carl Kawall     Visit format,photo,train
3695232,Costume design for the actor Don Andres from the Vanemuine Theater production Pericola,design/drawing/sketch,train
3930739,Foundations of theater art,book,train
2313960,"A bracelet   Found in 1905. baron Ungern-Sternbergi, dr. By Schluter and M. Hansen",archaeological find,train
2076394,Old oak trees in a meadow,photo negative,train
3234472,Aino Tamme's concert.,plan,train
2328507,Quartz shard   Complained by A. Kriiska in 1997. I from the edge of the grave,archaeological find,train
2076976,"Erastvere manor     Emulsion varnished. Ink inscriptions on the upper edge of the emulsion: ""Errestfer"", ""XI / 6""",photo negative,train
2274721,"Costume design for the character Ogandi Taavi. The lost sun, A. Mälk, Estonia 1943",design/drawing/sketch,train
3167254,"Grete Sällik, portrait, ca. 1927   The History Museum handed over the Parikas Glass Negatives to the Theater and Music Museum on 10.11.1948",photo negative,train
3199778,A letter to Aino Tamme from A. Jürgenstein,letter,train
2512562,"a denarius    coin hoards G. Hatz 1968, B",coin,train
3357189,"Kava, Karl Leichter, Sechiko and Kunio Kodama",plan,train
3192859,Anderson     Ministry of Culture of the Estonian SSR. Government of Theatres,manuscript,train
2072959,Sillamäe Park.     Ink inscription on the film: B - Bridge. Low sulfuration,photo negative,train
3915959,Izvestia issue 1     Autograph of A. Kasemets dirty,newspaper,train
2326504,Plaster   Obtained during excavations led by Mati Mandel in 1983-1990. (II mine),archaeological find,train
4036585,Reproduction: M. P. Borodin,small print,train
2731945,"Letter from Olga
To Lüdig",letter,train
2827394,"Exhibition ""Johann Burchardt - Mon Faible""",photo negative,train
2079092,"Building on the corner of Vene and Viru streets with Demini's colonial store.     The inscription ""1118"" on the edge of the emulsion sulfuration, vertical crack on the glass.",photo negative,train
