id,type,curie_similarity
2076604,photo negative,"[-0.00511178  0.01806734 -0.00822454 ...  0.02189404  0.01468804
 -0.00700609]"
2334292,archaeological find,[0.00942126 0.01182517 0.00890444 ... 0.00471537 0.01483125 0.00527723]
2159050,plan,[0.00441504 0.01396913 0.01511429 ... 0.012152   0.01252111 0.0172248 ]
3526278,design/drawing/sketch,[0.01039036 0.01544919 0.01622964 ... 0.02172102 0.01073827 0.01519531]
2936362,notes,"[-0.00403277  0.01689877  0.01544561 ...  0.01531765  0.00238767
  0.00811123]"
3851479,graphics,"[ 0.01378166 -0.00191815 -0.00305453 ... -0.00315518  0.01189043
  0.00380119]"
3269238,document,"[ 0.00310758  0.00363798 -0.00535532 ...  0.00139608 -0.0044581
  0.00845356]"
2662680,small print,"[ 0.01299844  0.02060591 -0.00193356 ...  0.01683035  0.02796918
  0.01445419]"
3658610,letter,"[-0.00189288  0.00922866 -0.00230716 ...  0.0042899   0.00876186
  0.01050303]"
3393608,photo,"[-0.00516324  0.01220316  0.00291365 ...  0.00112841  0.0059091
  0.01325216]"
3208239,manuscript,"[ 0.00270258  0.01618344 -0.00767524 ...  0.00279869  0.00814664
  0.00019208]"
3683038,photo negative,"[-0.00397312  0.01503924  0.00941828 ...  0.0109794   0.00856037
  0.01494548]"
3675719,design/drawing/sketch,"[-0.01057093 -0.00019101  0.01136049 ...  0.0196556  -0.00371097
  0.01073813]"
3182645,invitation,"[ 0.01226156  0.00434575 -0.01571013 ...  0.00445089  0.00319389
  0.01281296]"
2902687,plan,[0.01695611 0.0240421  0.01364124 ... 0.0201313  0.01160204 0.00862704]
1617693,packaging,"[ 0.01503804  0.02691118 -0.01629832 ...  0.00445835  0.02704384
  0.01624146]"
2334524,archaeological find,[0.0051407  0.0163944  0.01156176 ... 0.00405047 0.00195544 0.00777843]
3300322,photo negative,"[-0.00061258  0.01169737  0.01322557 ...  0.00496195  0.0213194
  0.01671592]"
2084015,manuscript,"[ 0.01708824  0.02376683  0.00577847 ...  0.00631015  0.00660397
 -0.00013051]"
3157302,design/drawing/sketch,"[ 1.13769630e-02  6.12211181e-03  1.31208086e-02 ...  1.57132652e-02
 -8.38737742e-06  1.24307312e-02]"
3359273,"manuscript, sheet music","[ 0.00166204  0.01322992  0.01065033 ... -0.00405196  0.01669152
  0.01410243]"
3482692,document,[0.00357363 0.00882473 0.01827431 ... 0.0062148  0.01383311 0.00827199]
4092977,poster,"[-0.00128817  0.01137141  0.01445741 ...  0.00828075  0.01154909
  0.01124984]"
3525819,letter,"[-0.01167345  0.01476569 -0.00029401 ...  0.00757082  0.00317448
  0.00571924]"
4049751,magazines,"[-0.00129407  0.020578   -0.00734215 ...  0.01718163  0.02281198
  0.00525802]"
2844639,plan,[0.0087221  0.00913721 0.00969532 ... 0.00977834 0.00939551 0.00465855]
2861021,plan,[0.02217748 0.01862387 0.00556763 ... 0.01265158 0.01072594 0.00032414]
3910429,book,"[-0.01152178  0.00804586  0.00795354 ...  0.00798585  0.01015542
  0.01621174]"
3912552,poster,"[-0.00124239  0.01194536  0.00151273 ...  0.00611533  0.01002196
  0.00962623]"
3971793,plan,"[-0.00541605  0.00361685  0.00258577 ... -0.02004029 -0.00545757
  0.00572053]"
3370425,photo,"[-0.01197081 -0.00517707 -0.00734976 ...  0.01169981 -0.00182225
  0.01267167]"
2669608,small print,[0.00591265 0.02049594 0.01081468 ... 0.01560336 0.01810632 0.02468958]
2653050,photo negative,"[-0.00366289  0.0130972  -0.01100937 ...  0.01177276  0.00223614
  0.00668196]"
2233976,photo negative,[0.00062607 0.03999304 0.01714122 ... 0.00390366 0.01353205 0.02533018]
3231338,postcard,"[-0.0105467  -0.00729906 -0.00094839 ...  0.00702029 -0.00461592
 -0.00055231]"
2491379,photo,[0.00787513 0.02216912 0.00404125 ... 0.00645657 0.01477941 0.01453434]
2708383,photo negative,"[-0.00112138  0.02484154  0.00628953 ...  0.00708561 -0.00155143
  0.00671317]"
2774358,seal/imprint,"[-0.00200611 -0.00223085  0.00658609 ...  0.00561142  0.01696674
  0.01783732]"
3626329,design/drawing/sketch,[0.01095473 0.00631399 0.00990085 ... 0.02020847 0.01067739 0.01911762]
2804935,document,[0.00418158 0.00860503 0.00513511 ... 0.00538628 0.00667471 0.01005625]
2473669,photo,"[-4.09228262e-03  3.01909028e-03  1.28783071e-02 ... -5.65342343e-05
  1.37651647e-02  9.94412880e-03]"
3667204,design/drawing/sketch,"[-0.00891401  0.01544469  0.01071557 ...  0.01505059  0.00614597
  0.01823149]"
203576,"manuscript, musical composition","[ 0.01958526  0.00945242 -0.00126776 ...  0.00083042  0.00229414
  0.00824788]"
3063593,album,"[-0.01608359  0.0180857   0.00078654 ...  0.00043081  0.00397323
 -0.00172443]"
2164795,"script, song/vocal music","[-0.00774552  0.02854106  0.00872662 ...  0.01767856  0.01236466
  0.00313341]"
3942780,book,[0.00103404 0.01745043 0.01352224 ... 0.00057652 0.02647142 0.0147885 ]
3435817,photo,"[-0.00743413  0.0128294   0.00210618 ...  0.00786691  0.00419312
  0.01450281]"
4132166,"script, song/vocal music","[-0.01540658  0.02015135 -0.00080591 ...  0.00557279  0.00664734
 -0.00944304]"
3817018,photo,"[ 0.00122201  0.01976254 -0.00420408 ...  0.00902037  0.00704985
  0.00381189]"
3534169,design/drawing/sketch,"[-0.00599975  0.00785455  0.00584103 ...  0.01552771  0.00041948
  0.02093338]"
4049987,magazines,"[-0.00946272  0.01762248  0.0032505  ...  0.0125954   0.01855581
  0.00297327]"
2521536,coin,"[ 1.39925284e-02  3.52397445e-03 -1.38233770e-02 ...  1.56370495e-02
 -3.61559773e-03  9.83042046e-05]"
3606621,design/drawing/sketch,"[ 0.00048133  0.00987944  0.00515613 ...  0.00510438  0.00014216
 -0.01041575]"
3535322,plan,"[-0.00492458  0.00535034  0.00028413 ...  0.00194074  0.00485835
  0.00715744]"
2402525,book,"[-0.01074492  0.01047606  0.00113278 ...  0.01393409  0.01920921
  0.01379503]"
2039850,photo,[0.00226804 0.02868849 0.0128769  ... 0.00486293 0.013968   0.01685566]
2351041,medal,"[-0.01067471  0.00820539  0.00874456 ...  0.00274797  0.01427221
  0.00254408]"
2073383,photo negative,"[ 0.0075798   0.00237613 -0.00189839 ...  0.02403171  0.00320331
  0.01135595]"
2605099,country,"[ 0.01066534  0.00197621 -0.01982412 ...  0.01228214  0.0124383
 -0.0129803 ]"
4028766,digital image,[0.00099188 0.00733615 0.01955683 ... 0.0170397  0.00607291 0.01332484]
2657551,photo negative,"[-0.0047071   0.01168757  0.00511744 ...  0.00146448  0.00623526
  0.00628242]"
2806836,photo negative,"[-0.00801663  0.00060693 -0.0004668  ... -0.001627    0.00343503
 -0.00542178]"
2551044,document,"[ 0.01806241  0.02079352  0.00484195 ... -0.01006347  0.02594099
  0.00654542]"
3664009,design/drawing/sketch,[0.00123952 0.00458165 0.01794097 ... 0.01917131 0.00914034 0.0148192 ]
2479998,photo,"[-0.00021549  0.0104899   0.0094716  ...  0.00982963  0.01991965
  0.00649109]"
2074599,photo negative,"[-7.50779081e-03  7.94273583e-05 -2.12900504e-03 ...  9.31791402e-03
  1.45653952e-02 -1.73274742e-03]"
2214768,photo negative,[0.00252503 0.012912   0.0004996  ... 0.01289319 0.02349175 0.00829923]
3242426,photo,[0.00054773 0.00447124 0.02276779 ... 0.0205851  0.00785583 0.012654  ]
2233917,photo negative,[0.00935699 0.02587941 0.0199908  ... 0.01037654 0.00711303 0.01716083]
3335540,digital image,[0.01056763 0.00248034 0.00193308 ... 0.00923872 0.00022841 0.00869258]
4045413,audio recording,"[ 0.01720219  0.01645427  0.01764327 ... -0.00276875  0.01331875
  0.009023  ]"
3678883,photo,"[ 0.01301725  0.00950083 -0.00235665 ...  0.00601688  0.01213583
  0.00719985]"
236640,graphics,[0.01310868 0.0065969  0.01522726 ... 0.00244724 0.02797654 0.02281251]
2667774,seal/imprint,"[-0.00680869  0.00875471 -0.00097539 ...  0.00777456  0.01312255
  0.01566332]"
3910482,document,"[-0.00483671  0.00285638  0.00271806 ...  0.01675558  0.02329367
  0.00287021]"
3637543,photo,"[ 0.01391163  0.00276915 -0.01227603 ... -0.00099726  0.00464099
  0.00802803]"
3523151,plan,"[-0.00166224  0.00637463 -0.00143208 ... -0.00450084  0.00133095
  0.00198423]"
2041852,"photo, postcard","[-0.015619    0.01042198  0.00346701 ...  0.01512537  0.00264042
 -0.01667144]"
2911905,letter,"[-0.02976287  0.01326676  0.00280443 ...  0.00317269  0.00901762
  0.0073038 ]"
2334890,archaeological find,"[ 0.00231058  0.01499533  0.01503378 ... -0.00235864  0.01165983
  0.01041022]"
3626071,photo negative,"[-0.01781438  0.00428638  0.00992933 ...  0.00735279  0.0131606
  0.01658028]"
3165012,drawing,"[-0.00386794  0.00559531  0.0155079  ...  0.01099192  0.00842232
  0.01036871]"
3254410,letter,[0.00171215 0.01152091 0.00331453 ... 0.00699654 0.00527366 0.01568257]
4033949,plan,[0.00935372 0.0100202  0.00736807 ... 0.01548995 0.0237727  0.00388168]
3225083,photo negative,"[-0.01301211  0.01342262  0.00849654 ...  0.01040587  0.01510283
  0.00968032]"
3840359,photo negative,"[ 6.22419128e-03 -1.38957612e-03 -5.04328273e-05 ...  8.65190290e-03
  1.46587566e-02  8.12011864e-03]"
3448484,design/drawing/sketch,[0.00180217 0.00447303 0.01322578 ... 0.01047875 0.00977835 0.01324398]
4049455,magazines,"[-0.00064091  0.02160599 -0.00528268 ... -0.00196958  0.01508032
  0.00892024]"
2197588,invitation,"[1.59228839e-05 1.53919514e-02 4.94275428e-03 ... 1.67615749e-02
 4.39071236e-03 1.66125000e-02]"
3329188,invitation,"[ 0.01002346  0.00747575 -0.00248959 ...  0.00902855 -0.00546734
  0.01365906]"
2077699,photo negative,"[-0.01049758  0.02334244  0.01377632 ...  0.01449355  0.01104714
  0.01646825]"
2319413,archaeological find,"[-0.0023269   0.01511959 -0.00478196 ...  0.00159981  0.01632207
  0.00230126]"
3432967,photo,"[-0.00561394  0.01666445  0.00420207 ...  0.00571941  0.00696589
  0.01775751]"
2725032,book,"[ 0.00488964  0.0029568  -0.01756701 ... -0.01011747  0.00956792
 -0.00610148]"
3341913,design/drawing/sketch,"[ 0.02046476 -0.00280824  0.02074795 ...  0.0190866   0.00684361
  0.01624532]"
4291396,photo negative,[0.00633581 0.0080947  0.02768841 ... 0.01121532 0.01530995 0.0177308 ]
198701,"script, song/vocal music","[-0.00015875  0.01546818  0.02229129 ...  0.00807339  0.01024395
 -0.00047002]"
3390767,photo,"[-0.00065208  0.01481981  0.00010245 ...  0.00101376  0.00601881
  0.00518879]"
3625991,photo negative,"[-0.00259946  0.01161059  0.01171401 ...  0.01374469  0.0020295
  0.00468654]"
2334007,archaeological find,"[ 0.01538209  0.01067709  0.00747676 ...  0.00199613  0.00614911
 -0.00310483]"
3706039,book,"[ 0.00391645  0.00781882 -0.00237097 ... -0.0002716   0.01098481
  0.0020321 ]"
3555463,photo,"[-0.01200956  0.00069542  0.01463032 ...  0.01806031  0.00868992
  0.0127728 ]"
3147748,plan,"[-0.00946908  0.00842425  0.00900523 ...  0.01201322  0.01631436
 -0.00085508]"
3391839,photo,"[-0.00235631  0.01039032  0.00483745 ... -0.00112294  0.00628509
  0.00727898]"
4030435,digital image,"[-0.00137976  0.02018656  0.01646355 ...  0.02183292  0.0039288
  0.0118706 ]"
4283240,letter,"[-0.00385578  0.01078665 -0.01671788 ...  0.00370583  0.00148162
  0.00907297]"
4046991,manuscript,"[-0.00121371  0.00814211  0.00760268 ...  0.01846959 -0.00345325
  0.01392365]"
3493558,letter,"[-6.82119792e-03  8.01513743e-05 -9.62965598e-04 ...  5.33193350e-03
  1.49845723e-02  1.22358687e-02]"
2331623,archaeological find,"[ 0.00243975  0.00902938  0.00471219 ... -0.00188674  0.00564162
  0.01726875]"
4086041,photo negative,"[-0.01066645  0.0228704   0.02066023 ...  0.01351083  0.01187723
  0.01099317]"
3246448,crate/box,[0.01322585 0.02545701 0.01427582 ... 0.01203774 0.01189958 0.00635504]
223873,photo negative,[0.00339771 0.02828643 0.00823354 ... 0.01010502 0.01158125 0.03342942]
4304221,letter of honor/honorary address,"[-0.01624283  0.00764505  0.00417402 ...  0.01257062  0.00127649
  0.01407835]"
2318277,archaeological find,"[-0.00726625  0.00928824 -0.00166076 ... -0.0033746  -0.00566897
  0.01823487]"
3582436,design/drawing/sketch,[0.00301352 0.02457426 0.01687383 ... 0.02026724 0.00638595 0.01127097]
4260960,document,[0.00018389 0.00345415 0.01536413 ... 0.01301966 0.01551239 0.01274166]
4085299,paper,"[-0.00071484  0.00270824 -0.00970784 ... -0.01363188  0.01076789
  0.01346451]"
3512533,design/drawing/sketch,[0.01117879 0.01710083 0.01447714 ... 0.02012744 0.01249063 0.0157515 ]
2653053,photo negative,"[-0.00366289  0.0130972  -0.01100937 ...  0.01177276  0.00223614
  0.00668196]"
393301,calendar,[0.00752395 0.01500156 0.00189952 ... 0.02070012 0.02455475 0.01427882]
2405132,photo,"[ 0.00903096  0.01208683 -0.00150174 ... -0.00082089  0.00973686
 -0.00487299]"
3370602,graphics,"[-0.00381607 -0.00022336  0.00970092 ... -0.00527447  0.01436035
  0.01587932]"
3559591,photo,[0.00583296 0.01599497 0.00961385 ... 0.01346501 0.00425408 0.02269468]
2168274,photo negative,[0.00809125 0.0229392  0.02045676 ... 0.01283214 0.00997641 0.01957951]
2951331,plan,"[ 0.01861988  0.01433421  0.00307748 ...  0.02494808  0.00501515
 -0.00096542]"
3985726,plan,"[-0.00384571  0.0002626   0.005772   ...  0.00025284  0.01651243
  0.01237055]"
1683794,poster,"[-0.001239    0.02598467  0.00666152 ...  0.01111199  0.00512134
  0.01096081]"
3240226,plan,"[-0.01403865  0.00668396  0.00972551 ...  0.01123465  0.0047696
  0.01084339]"
4148843,poster,[0.00833726 0.0182894  0.01467471 ... 0.0128345  0.0209746  0.00660033]
3165708,seal/imprint,"[-0.00616509  0.003903    0.00080404 ...  0.01525567  0.02042216
  0.01534006]"
3713972,graphics,"[ 0.00543941 -0.00031905 -0.0063841  ...  0.0023342   0.00295482
  0.00240622]"
3367502,plan,"[-0.00705503  0.0183508   0.00475636 ...  0.01206681  0.00944526
  0.01359925]"
3509206,design/drawing/sketch,[0.01191718 0.0153985  0.01147615 ... 0.02101928 0.01220807 0.01885167]
3051033,book,"[-0.01332832 -0.00976272 -0.01066984 ... -0.00535288  0.0204595
 -0.00827631]"
2917454,photo,"[-0.00879723  0.01704022 -0.00332303 ...  0.00889116  0.00728953
 -0.00514776]"
3622905,book,[0.01604574 0.01144916 0.01707974 ... 0.01152436 0.01840513 0.01801974]
3163673,seal/imprint,"[-0.00232687  0.00171945  0.00406759 ...  0.01082485  0.02420229
  0.01092885]"
3675542,design/drawing/sketch,[0.02020632 0.011569   0.01410175 ... 0.0283705  0.00658236 0.01579953]
229153,tape/ribbon,"[-0.01047479  0.01347851  0.01444468 ...  0.0045319  -0.00499346
 -0.0031807 ]"
4049270,magazines,"[-0.00036767  0.01754669 -0.01185761 ...  0.00926203  0.01567492
  0.00959858]"
2042428,photo,"[-0.00344414  0.00217161 -0.00027789 ...  0.01136029  0.0324981
  0.00335517]"
2080404,photo negative,[0.00262747 0.02133937 0.00243006 ... 0.00817852 0.01631005 0.01287883]
3489828,photo negative,[0.00357251 0.01824651 0.01331791 ... 0.00622637 0.01878118 0.0235834 ]
2484456,book,"[-0.0020476   0.01858521 -0.00944463 ...  0.00834244  0.01019526
  0.01080337]"
3621551,bag,[0.00419438 0.02441897 0.00372263 ... 0.01978553 0.00399587 0.01615165]
3707473,letter,"[-0.01767206  0.00932321 -0.00018971 ... -0.00388547  0.00575058
  0.01640159]"
4301057,audio recording,"[-0.00108823  0.01365264  0.00268807 ... -0.0044507   0.02083674
  0.0166007 ]"
2763821,book,"[ 0.00687146  0.00887505 -0.00832477 ...  0.00482084  0.0194903
 -0.00032982]"
3907569,book,[0.00519712 0.00631011 0.00423268 ... 0.01339366 0.00866815 0.02418405]
3253897,plan,[0.00805757 0.0168121  0.00419361 ... 0.01223469 0.01741489 0.01264911]
3297646,postcard,"[-0.00064666  0.00489467 -0.0022848  ... -0.0007854  -0.00493182
  0.00443957]"
3581119,postcard,"[1.20693045e-02 2.94117909e-03 1.29640326e-02 ... 5.58832944e-05
 1.99314859e-02 1.48486709e-02]"
3924634,photo,"[-0.00345308  0.00692454  0.00149664 ...  0.00032013  0.01290191
  0.01322376]"
2949453,photo,"[ 0.00713434  0.0175481   0.00342786 ...  0.0171279  -0.00025306
  0.00676438]"
3829811,letter,"[-0.00016147  0.01826539  0.006697   ...  0.00233597  0.00805329
  0.01591886]"
4103129,photo,[0.0073668  0.01088644 0.01022218 ... 0.01715998 0.00444914 0.01024063]
1318526,photo,"[-6.03457447e-03  1.70770548e-02  6.96107163e-05 ...  9.43047367e-03
  1.48564810e-02  4.86854045e-03]"
3941379,invitation,[0.00551211 0.01566347 0.01283749 ... 0.02083318 0.00101031 0.02374597]
3422410,photo,"[-0.00370336  0.01488876 -0.00926663 ...  0.00409888  0.00606004
  0.01932431]"
3723169,design/drawing/sketch,"[-4.19002259e-03 -4.95519707e-05  1.11826127e-02 ...  2.21255310e-02
  7.17236008e-03  1.05833793e-02]"
3535013,newspaper,"[-0.00015679  0.02128937 -0.01164907 ...  0.01718731  0.02851724
  0.00997822]"
3708321,photo,"[-0.00596194  0.00511289 -0.01002163 ...  0.00244509  0.01425298
  0.01254559]"
2529075,coin,"[ 1.13576883e-03 -5.82110588e-05 -7.82728288e-03 ...  2.03091260e-02
 -1.30067603e-03 -3.46537260e-03]"
2042462,photo,"[-0.00036325  0.02380727  0.00130735 ...  0.00576539  0.0136188
 -0.00191558]"
2046636,photo,"[ 0.01268118 -0.00473706 -0.00574329 ...  0.01261685  0.01535525
  0.01384821]"
3695232,design/drawing/sketch,"[5.91001772e-05 5.07459790e-03 1.04504703e-02 ... 2.19742320e-02
 4.49323142e-03 1.49131035e-02]"
3930739,book,"[ 0.00126302  0.00872589  0.00408306 ...  0.01796921  0.00444291
 -0.00509441]"
2313960,archaeological find,"[ 0.00419722 -0.00364318 -0.01161161 ...  0.00303327  0.00981447
  0.01053146]"
2076394,photo negative,"[ 0.00309857  0.00556225 -0.01098648 ... -0.00434997  0.00017756
 -0.00377028]"
3234472,plan,"[ 0.0111292   0.00413957 -0.00064589 ...  0.02083111  0.00121726
 -0.00941284]"
2328507,archaeological find,"[ 0.01365082  0.00635549  0.00621592 ...  0.00174706  0.0086632
 -0.00031347]"
2076976,photo negative,"[-0.01659059  0.01885727  0.00857149 ... -0.00558099  0.02700971
  0.00956197]"
2274721,design/drawing/sketch,"[-0.00720083  0.00728967  0.02212618 ...  0.00771985  0.01002505
  0.01922715]"
3167254,photo negative,[0.00844209 0.01041649 0.011193   ... 0.0163823  0.01787849 0.01741448]
3199778,letter,"[-0.00718507  0.00287546 -0.00291834 ...  0.01045361 -0.00761389
  0.00082726]"
2512562,coin,"[ 7.17328116e-03  1.98788960e-02  1.02113765e-02 ... -8.91532181e-05
  1.98038816e-02 -3.13186389e-03]"
3357189,plan,"[-0.00083034  0.00671222 -0.01839371 ... -0.0016711  -0.01202452
  0.00814923]"
3192859,manuscript,"[ 0.00181688  0.01286905  0.01265378 ...  0.00188122 -0.00287097
  0.02175103]"
2072959,photo negative,"[-0.0193811   0.01575538  0.00393178 ... -0.00338792  0.00382819
  0.00492532]"
3915959,newspaper,"[ 0.00608668  0.02732224 -0.00213221 ...  0.00712063  0.01748811
  0.00097312]"
2326504,archaeological find,[0.01240465 0.01738553 0.00727645 ... 0.00562724 0.01353581 0.00672513]
4036585,small print,"[ 0.00363298  0.00467425 -0.00752284 ... -0.00072878 -0.00124769
 -0.0089953 ]"
2731945,letter,"[ 0.00776184  0.00234633 -0.00774312 ...  0.00377799 -0.01396102
  0.00482366]"
2827394,photo negative,"[-0.00196316  0.0016691   0.01763432 ...  0.01844358 -0.00877011
  0.0048979 ]"
2079092,photo negative,"[-0.00728389  0.00726537 -0.00294967 ... -0.00143316  0.03263628
  0.00740892]"
3349661,poster,[0.01175666 0.02693239 0.00713899 ... 0.00782185 0.01312238 0.01150834]
2511658,coin,[0.0082465  0.01622805 0.01446804 ... 0.00451121 0.01807322 0.00051895]
3434453,photo,"[-0.00743413  0.0128294   0.00210618 ...  0.00786691  0.00419312
  0.01450281]"
2270751,dish/vessel,"[ 0.01282599  0.00082541 -0.01779898 ...  0.0137514   0.01549843
 -0.0208952 ]"
2458030,photo,"[-0.01862654  0.01278578  0.01076889 ...  0.00470455  0.01942051
  0.010632  ]"
3681946,photo,"[-0.00304912  0.01298749  0.01682303 ...  0.00426324  0.01387969
  0.01507542]"
2448293,book,"[-0.0066846   0.01670919 -0.00391984 ...  0.00584033  0.03061651
  0.00536253]"
3484355,plan,"[ 0.00091473  0.01069741 -0.01042741 ... -0.00076402  0.00351925
  0.00842107]"
3628223,design/drawing/sketch,"[ 0.0028376   0.00920829  0.01207371 ...  0.0203825  -0.00554074
  0.02108726]"
3672525,design/drawing/sketch,[0.00992939 0.01449875 0.01361614 ... 0.01347823 0.00275587 0.00988342]
2336714,archaeological find,"[ 0.00334188  0.01340592  0.01278172 ... -0.00474873  0.00573305
  0.01377083]"
3312968,design/drawing/sketch,[0.00098797 0.00314812 0.00721963 ... 0.01425745 0.0033395  0.01443926]
4294466,photo negative,[0.01658947 0.02051027 0.00706889 ... 0.00523727 0.01246834 0.00340566]
